State,Popular Product,Product Category,Product Sold Count,Popular Seller,Total Customer,Total Spent,Average review score
AC,b81a05d0dd312ece2140846909f5ef81,Furniture_Decor,6,5a8e7d5003a1f221f9e1d6e411de7c23,1,3878.6400000000003,5.0
AL,6cdd53843498f92890544667809f1595,Health_Beauty,9,ccc4bbb5f32a6ab2b7066a4130f114e3,9,3500.92,4.333333333333333
AM,0829c25b4a3efca7651f07cd4b8e05bc,Computers_Accessories,4,9f505651f4a6abe901a56cdc21508025,1,49.14,5.0
AP,68d9c8a95d2b7cb57efe9e1e929bdd6a,Fixed_Telephony,5,c458e2045a8aa8964f8879af03fdcce6,1,1620.75,4.0
BA,3dd2a17168ec895c781a9191c1e95ad7,Computers_Accessories,24,de722cd6dad950a92b7d4f82673f8833,21,5499.17,4.541666666666667
CE,bb50f2e236e5eea0100680137654686c,Health_Beauty,27,f7ba60f8c3f99e7ee4042fdef03b70c4,17,14481.68,3.4074074074074074
DF,4c2394abfbac7ff59ec7a420918562fa,Health_Beauty,17,cc419e0650a3c5ba77189a1882b7556a,14,2005.79,3.6470588235294117
ES,53759a2ecddad2bb87a079a1f1519f73,Garden_Tools,15,1f50f920176fa81dab994f9023523100,10,1019.0,3.933333333333333
GO,9571759451b1d780ee7c15012ea109d4,Auto,20,ce27a3cc3c8cc1ea79d11e561e9bebb6,1,45256.0,
MA,bb50f2e236e5eea0100680137654686c,Health_Beauty,9,f7ba60f8c3f99e7ee4042fdef03b70c4,8,2850.52,2.7777777777777777
MG,d1c427060a0f73f6b889a5c7c61f2ac4,Computers_Accessories,82,a1043bafd471dff536d0c462352beb48,78,14935.65,4.609756097560975
MS,154e7e31ebfa092203795c972e5804a6,Health_Beauty,10,cc419e0650a3c5ba77189a1882b7556a,5,847.98,4.0
MT,1aecdb5fa3add74e385f25c6c527a462,Garden_Tools,29,06532f10282704ef4c69168b914b77be,1,457.99,1.0
PA,bb50f2e236e5eea0100680137654686c,Health_Beauty,9,f7ba60f8c3f99e7ee4042fdef03b70c4,9,3165.4300000000003,4.555555555555555
PB,bb50f2e236e5eea0100680137654686c,Health_Beauty,13,f7ba60f8c3f99e7ee4042fdef03b70c4,12,4485.889999999999,4.230769230769231
PE,6cdd53843498f92890544667809f1595,Health_Beauty,13,ccc4bbb5f32a6ab2b7066a4130f114e3,12,5980.39,4.166666666666667
PI,30ac6df06dc59ad72cf2f158fc2d904c,Housewares,5,0dd184061fb0eaa7ca37932c68ab91c5,1,4207.0,4.0
PR,422879e10f46682990de24d770e7f83d,Garden_Tools,28,1f50f920176fa81dab994f9023523100,20,3212.3199999999997,4.107142857142857
RJ,d1c427060a0f73f6b889a5c7c61f2ac4,Computers_Accessories,104,a1043bafd471dff536d0c462352beb48,95,22122.82,3.9207920792079207
RN,480be8d20c4b6a7df1eae0f2c17f2db2,Books_General_Interest,9,41c2bad7229b0c25e6becf179ebf63ff,9,507.24000000000007,5.0
RO,c23381297fa734ea441a15d723199fb5,Computers_Accessories,5,9646c3513289980f17226a2fc4720dbd,1,1321.0,2.0
RR,1fe8e6e01596885617fa1c90d29c2f81,Health_Beauty,2,a416b6a846a11724393025641d4edd5e,1,435.92,3.0
RS,422879e10f46682990de24d770e7f83d,Garden_Tools,42,1f50f920176fa81dab994f9023523100,25,8403.85,4.404761904761905
SC,368c6c730842d78016ad823897a372db,Garden_Tools,28,1f50f920176fa81dab994f9023523100,19,3241.7599999999998,3.75
SE,6cdd53843498f92890544667809f1595,Health_Beauty,10,ccc4bbb5f32a6ab2b7066a4130f114e3,10,3837.91,3.9
SP,422879e10f46682990de24d770e7f83d,Garden_Tools,111,1f50f920176fa81dab994f9023523100,71,25844.739999999998,3.954954954954955
TO,76fab799e52e98680a1aae62daef914f,Home_Appliances_2,14,6b333a05bf188ef3e1f1662a86bd9855,1,529.55,5.0
