Seller,Total Spent,Total Product Sold,Total Customer,Average Review,Delivered Percentage,Origin State,Popular State,Total Spent by Popular State
0015a82c2db000af6aaaf3ae2ecb0532,2748.06,3,3,3.6666666666666665,1.0,SP,MG,1832.04
001cca7ae9ae17fb1caed9dfb1094831,42456.98,202,163,3.881188118811881,0.9851485148514851,ES,RJ,10928.210000000001
002100f778ceb8431b7a1020ff7ab48f,2038.42,45,40,4.022222222222222,0.9777777777777777,SP,SP,474.13
003554e2dce176b5555353e4f3555ac8,139.38,1,1,5.0,1.0,GO,RJ,139.38
004c9cd9d87a3c30c522c48c4fc07416,21154.33,165,125,4.042424242424242,1.0,SP,RJ,4373.6
00720abe85ba0859807595bbf045a33b,1264.95,14,8,3.7857142857142856,1.0,SP,DF,467.98
00ab3eff1b5192e5f1a63bcecfee11c8,110.08,1,1,5.0,1.0,SP,SP,110.08
00d8b143d12632bad99c0ad66ad52825,137.1,1,1,5.0,1.0,MG,PB,137.1
00ee68308b45bc5e2660cd833c3f81cc,22470.92,114,88,4.105263157894737,1.0,SP,SP,9599.51
00fc707aaaad2d31347cf883cd2dfe10,23961.4,111,76,3.675675675675676,1.0,PR,RS,7458.790000000001
010543a62bd80aa422851e79a3bc7540,1447.95,2,2,4.5,1.0,SP,RJ,726.71
010da0602d7774602cd1b3f5fb7b709e,5398.75,5,1,1.0,1.0,SP,SP,5398.75
011b0eaba87386a2ae96a7d32bb531d1,258.32,2,1,4.0,1.0,SP,MG,258.32
01266d4c46afa519678d16a8b683d325,98.82,2,2,5.0,1.0,PR,SP,75.47
013900e863eace745d3ec7614cab5b1a,2210.49,22,20,4.7727272727272725,1.0,PR,RJ,864.81
014c0679dd340a0e338872e7ec85666a,7620.63,15,13,3.6666666666666665,1.0,MG,SP,4393.0
014d9a685fd57276679edd00e07089e5,1110.57,10,9,4.0,1.0,PR,PR,410.81
0176f73cc1195f367f7b32db1e5b3aa8,4185.2699999999995,25,24,3.92,1.0,SP,SP,1784.24
01bcc9d254a0143f0ce9791b960b2a47,1644.69,12,10,4.333333333333333,1.0,GO,MG,453.6
01c97ebb5cdac52891c0ed1c37ba0012,500.18,8,7,3.875,1.0,SP,RS,230.76
01cf7e3d21494c41fb86034f2e714fa1,8972.31,55,37,4.527272727272727,0.9818181818181818,PR,MG,2485.06
01ed254b9ff8407dfb9d99ba1e17d923,824.5,3,3,5.0,1.0,SP,RJ,356.12
01fd077212124329bac32490e8ef80d9,1486.24,21,19,4.523809523809524,1.0,SP,SC,514.71
01fdefa7697d26ad920e9e0346d4bd1b,14062.69,104,98,4.259615384615385,0.9903846153846154,PR,SP,3700.92
0241d4d5d36f10f80c644447315af0bd,33357.62,200,181,4.19,1.0,PR,SP,6490.54
0249d282d911d23cb8b869ab49c99f53,375.51,8,8,4.375,1.0,SP,SP,146.17000000000002
024b564ae893ce8e9bfa02c10a401ece,4337.6,8,2,4.75,1.0,SP,MA,3751.2000000000003
028872bfa080090a9d0abd4f1af168f8,353.61,3,1,5.0,1.0,MG,BA,353.61
02a2272692e13558373c66db98f05e2e,93.85,2,2,3.0,0.0,RJ,MA,49.34
02b72cdeb9cfcc429f1af6f4e3f3b737,748.64,4,4,4.75,1.0,SP,ES,347.54999999999995
02c988090b766852e088c69d7fb3b551,1491.88,13,7,4.0,1.0,SP,SP,657.94
02d35243ea2e497335cd0f076b45675d,8408.63,16,14,2.6875,1.0,RN,PR,2573.8599999999997
02dcd3e8e25bee036e32512bcf175493,2636.6,18,11,3.2222222222222223,0.8888888888888888,MG,RJ,1096.1100000000001
02ecc2a19303f05e59ce133fd923fff7,4760.61,17,16,4.352941176470588,1.0,SP,SP,1424.16
02f5837340d7eb4f653d676c7256523a,1524.4,10,10,4.6,1.0,PR,SP,739.81
02f623a8eb246f3c5f7c2f96462654e6,5163.75,30,30,4.566666666666666,1.0,SP,SP,2204.84
0307f7565ff85b299b6e5ef162b1b1a9,5003.57,9,7,2.888888888888889,0.8888888888888888,SP,PR,3221.9
0336182e1b3e92f029d5354832045fdf,324.78,2,1,2.0,1.0,SP,SP,324.78
034b9387752bfa309f350a70cd45ffa3,149.57,6,5,4.333333333333333,1.0,SC,RJ,68.12
038b75b729c8a9a04b0d07cba7eabe86,557.8499999999999,2,2,3.5,1.0,SP,BA,281.96
039b29ff3b3473435d0cd59040575de9,97.41,3,3,4.0,1.0,SP,AM,38.95
039e6ad9dae79614493083e241147386,13273.42,5,5,4.0,1.0,SP,RJ,5717.72
03a2a6dcbe45d639c4dc2a0d24769c40,864.69,6,6,3.6666666666666665,1.0,SP,RJ,434.35
03bd479e1d9484cdb14104d3023f7321,596.41,3,3,4.333333333333333,1.0,MG,MS,319.88
0417b067eeab773d2f7061a726dc477f,2279.1000000000004,12,11,4.166666666666667,1.0,SC,MG,815.81
042573af89b6d931f672efaf789d8358,201.74,1,1,1.0,1.0,SP,RJ,201.74
04308b1ee57b6625f47df1d56f00eedf,52473.95,75,75,3.76,0.9733333333333334,SC,MG,14258.48
