season,product_category_name_english,total_sales,order_count
Autumn,Auto,183980.84,1311
Autumn,Bed_Bath_Table,296783.57,3223
Autumn,Computers_Accessories,291790.9,2396
Autumn,Cool_Stuff,180208.49,1130
Autumn,Furniture_Decor,232494.59000000003,2604
Autumn,Garden_Tools,165762.96,1251
Autumn,Health_Beauty,373962.82999999996,2827
Autumn,Housewares,196191.1,2191
Autumn,Sports_Leisure,300513.78,2586
Autumn,Watches_Gifts,402624.37,1884
Spring,Auto,72838.57999999999,533
Spring,Bed_Bath_Table,188562.73,2061
Spring,Computers_Accessories,147008.39,1128
Spring,Cool_Stuff,140526.59,775
Spring,Furniture_Decor,130170.95,1579
Spring,Garden_Tools,95818.03,1061
Spring,Health_Beauty,177261.25,1376
Spring,Housewares,72452.28,925
Spring,Sports_Leisure,168126.62,1563
Spring,Watches_Gifts,214179.94,1056
Summer,Auto,135370.47999999998,975
Summer,Bed_Bath_Table,207817.41,2303
Summer,Computers_Accessories,237890.06,2112
Summer,Cool_Stuff,130861.92000000001,849
Summer,Furniture_Decor,160603.86,1884
Summer,Garden_Tools,102863.01999999999,991
Summer,Health_Beauty,256131.32,2013
Summer,Housewares,114936.06999999999,1163
Summer,Sports_Leisure,253320.72,2034
Summer,Watches_Gifts,230653.77,1122
Winter,Auto,200530.21,1416
Winter,Bed_Bath_Table,343824.97,3528
Winter,Computers_Accessories,235264.97,2191
Winter,Cool_Stuff,183693.85,1042
Winter,Furniture_Decor,206493.09000000003,2267
Winter,Garden_Tools,120812.45,1044
Winter,Health_Beauty,451325.94,3454
Winter,Housewares,248669.21,2685
Winter,Sports_Leisure,266087.85000000003,2458
Winter,Watches_Gifts,357547.6,1929
